icao,name,manufacturer,type,apc,wtc,recat_eu,mtow_kg,v2_ias_kts,takeoff_distance_m,initial_climb_ias_kts,initial_climb_roc_ftmin,climb_fl150_ias_kts,climb_fl150_roc_ftmin,climb_fl240_ias_kts,climb_fl240_roc_ftmin,mach_climb_mach,mach_climb_roc_ftmin,cruise_tas_kt,cruise_mach,cruise_ceiling_fl,range_nm,init_descent_mach,init_descent_rod_ftmin,descent_fl100_ias_kt,descent_fl100_rod_ftmin,approach_ias_kt,approach_rod_ftmin,approach_mcs_kt,vat_ias_kt,landing_distance_m,wing_span_m,length_m,height_m,power_plant,wing_position,engine_position,tail_configuration,landing_gear,iata
M339,,,L1J,B,L,Light,6350,100,540,130,6600,130,6600,130,6600,0.69,6600,350,0.69,,1050,0.69,5000,130,5000,130,5000,120,105,540,11.2,11.25,3.95,A: 1 x 17.9 kN R-R  Viper Mk632-43  turbojet. C: 1 x 19.6 kN Rolls-Royce  Viper Mk680-43  turbojet.,Low wing with wing tip tanks,In fuselage,"Regular tail, high set",Tricycle retractable,
M600,,,L1T,A,L,Light,2722,95,803,122,2000,122,2000,122,2000,0.40,2000,270,0.40,,1658,0.40,1500,122,1500,122,1500,95,85,803,13.1,9,3.4,1x 600 SHP P&W PT6A-42A turboprop with Hartzell 4 blade constant speed propeller,Low wing,Nose mounted,"Regular tail, mid set",Tricycle retractable,
MD11,,,L3J,D,H,Lower Heavy,285990,160,3100,190,2000,190,2000,190,2000,0.80,2000,500,0.80,,7100,0.80,1000,190,1000,190,1000,240,159,3100,51.7,61.2,17.6,3 x 274 kN GE CF6-80C2 or 3 x 267 kN P&W PW 4460 or 4462 turbofans.,Low wing,Underwing mounted and fin-integrated,"Regular tail, low set",Tricycle retractable,M11/M1F/M1M
MD81,,,L2J,C,M,Upper Medium,63503,130,,160,3000,160,3000,160,3000,0.74,3000,480,0.74,,1570,0.74,1000,160,1000,160,1000,200,125,,32.82,45.01,9.02,Pratt & Whitney JT8D-209 (82kN) later models of the MD81 were delivered with JT8D-217/-219 engines,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
MD82,,,L2J,C,M,Upper Medium,67812,140,2052,170,2500,170,2500,170,2500,0.75,2500,440,0.75,,2052,0.75,1500,170,1500,170,1500,210,136,2052,32.8,45.1,9.05,2 x 89kN Pratt & Whitney JT8D-217A/C&#13;&#10;,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,M80 / M81 / M82 / M88
MD83,,,L2J,C,M,Upper Medium,73028,140,2052,170,2500,170,2500,170,2500,0.75,2500,440,0.75,,2504,0.75,1500,170,1500,170,1500,210,137,2052,32.8,45.1,9.05,2 x 93.4kN Pratt & Whitney JT8D-219,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,M83
MD87,,,L2J,C,M,Upper Medium,67800,140,1850,170,3000,170,3000,170,3000,0.74,3000,440,0.74,,2500,0.74,1000,170,1000,170,1000,210,140,1850,32.9,39.7,9.3,"2 x 68,9 kN P&W JT8D-217C turbofans.",Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
MD88,,,L2J,C,M,Upper Medium,67815,140,2050,170,2700,170,2700,170,2700,0.74,2700,450,0.74,,2055,0.74,1000,170,1000,170,1000,210,130,2050,32.82,45.01,9.02,2 x Pratt & Whitney  JT8D-219 (93.4kN) engines,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,
MD90,,,L2J,C,M,Upper Medium,74500,140,2200,170,3200,170,3200,170,3200,0.74,3200,440,0.74,,2200,0.74,1000,170,1000,170,1000,210,138,2200,32.9,46.5,9.3,30: 2 x 111.21 kN IAE V2500-D5 turbofans.  55: 2 x 124.55 kN IAE V2528 D5 turbofans.,Low wing,Both sides of rear fuselage,T-tail,Tricycle retractable,M90 / M95
MG21,,,L1J,E,M,Light,9100,175,800,205,7000,205,7000,205,7000,0.80,7000,500,0.80,,900,0.80,10000,205,10000,205,10000,,175,800,7.2,13.9,4.1,"1 x 59,8 KN Liyang WP7B or 1 x 64,7 KN Liyang WP13 afterburning turbojet.",Delta wing,In fuselage,"Regular tail, mid set",Tricycle retractable,
MG23,,,L1J,D,M,Lower Medium,17800,150,500,180,45000,180,45000,180,45000,0.80,45000,500,0.80,,1000,0.80,15000,180,15000,180,15000,180,157,500,14,15.7,4.8,"MiG-23: 1 x 127,5 KN Tumansky R-35-300 afterburning turbojets. MiG-27: 1 x 112,8 KN Tumansky R-29B-300 afterburning turbojets.",High swing wing,In fuselage,"Regular tail, high set",Tricycle retractable,
MG25,,,L2J,C,M,Lower Medium,36720,240,,210,41000,210,41000,210,41000,0.95,41000,230,0.95,,1390,0.95,30000,210,30000,210,30000,260,185,,14.02,23.82,6.1,2 Soyuz / Tumanskii R-15Bd-300 turbojets with afterburner.,High swept wing,In rear fuselage,"Double fin, low set",Tricycle retractable,
MG29,,,L2J,C,M,Lower Medium,21000,140,600,170,65000,170,65000,170,65000,0.80,65000,420,0.80,,700,0.80,10000,170,10000,170,10000,,140,600,11.4,17.3,4.7,"29/29S: 2 x 81,4 kN Klimov/Sarkisov RD-33 afterburning turbofans. 29M/33: 2 x 96 kN Klimov/Sarkisov RD-33K afterburning turbofans.",Mid wing,In fuselage,"Regular tail, mid set",Tricycle retractable,
MG31,,,L2J,E,M,Lower Medium,46200,150,1200,180,10000,180,10000,180,10000,0.80,10000,500,0.80,,900,0.80,10000,180,10000,180,10000,,170,1200,13.5,22.7,6.2,"2 x 151,9 KN Aviadvigatel D-30F6 turbofans.",High swing wing,In fuselage,"Double fin, mid set",Tricycle retractable,
MI2,,,H2T,A,L,Light,3700,,,30,900,30,900,30,900,,900,100,,,230,,700,30,700,30,700,,30,,14.5,11.4,3.75,2x GTD-350 400hp (298 kW) engines.,Three-blade main rotor,Above cabin,Two-blade tail rotor,Tricycle fixed,
MI8,,,H2T,A,M,Light,12000,,,60,700,60,700,60,700,,700,120,,,240,,800,60,800,60,800,,40,,21.29,18.17,5.65,"2 × Klimov TV3-117Mt turboshafts, 1,454 kW (1,950 shp) each",Five-blade main rotor,Above cabin,Three-blade tail rotor,Tricycle fixed,
MIR2,,,L1J,C,M,Lower Medium,17000,140,450,170,55000,170,55000,170,55000,0.85,55000,505,0.85,,1000,0.85,20000,170,20000,170,20000,,125,450,9.1,14.4,5.2,"1 x 95,1 kN SNCEMA M53 - P2 afterburning turbofan.",Delta wing,In fuselage,No tail plane,Tricycle retractable,
MRF1,,,L1J,C,M,Light,14900,140,700,170,40000,170,40000,170,40000,0.80,40000,525,0.80,,1000,0.80,20000,170,20000,170,20000,,145,700,8.4,15.3,4.5,1 x 72.0 kN reheated SNECMA ATAR 9k-50 afterburning turbojet.,High wing,In fuselage,"Regular tail, mid set",Tricycle retractable,
MU2,,,L2T,B,L,Light,4050,120,650,150,1800,150,1800,150,1800,,1800,280,,,1100,,1500,150,1500,150,1500,,110,650,11.9,10.1,3.9,MU-2: 2 x 605 SHP Garrett TPE331-25A or 2 x 724 SHP Garrett TPE331-G-251M turboprops with 3 blade propellers. Marquise: 2 x 715 SHP Garrett TPE331-10-501M turboprops with 4 blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,MU2
N262,,,L2T,A,M,Light,10600,100,700,130,1500,130,1500,130,1500,,1500,210,,,550,,1000,130,1000,130,1000,170,90,700,21.9,19.3,6.2,Fregate: 2 x 1.140SHP Turbomeca Bastan VIC turboprops with 3 blade propellers. Mohawk: 2 x 1.180 SHP P&W PT6A-45 turboprops with 5 blade propellers.,High wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,ND2
NH90,,,H2T,A,M,Light,10600,,,70,1600,70,1600,70,1600,,1600,150,,,497,,1000,70,1000,70,1000,,15,,16.3,16.13,5.23,"2 × Rolls-Royce Turbomeca RTM322-01/9 turboshaft, 1,662 kW (2,230 shp) each, or 2 × General Electric T700-T6E turboshaft, 1,577 kW (2,115 shp) each",Four bladed main rotor,In fuselage,four blade tail rotor,Tricycle retractable,
NIM,,,L4J,D,M,Upper Medium,85180,145,1500,175,1800,175,1800,175,1800,0.70,1800,420,0.70,,4500,0.70,800,175,800,175,800,230,150,1500,35.1,38.63,9.45,"4 x 66.3kN R-R RB 168-20 Spey Mk 250 turbofans. 2000: 4 x 66,3kN BMW R-R BR 710 turbofans.",Low wing,In wing mounted,Regular tail (Dihedral),Tricycle retractable,
P180,,,L2T,B,L,Light,5240,120,900,160,3000,160,3000,160,3000,0.65,3000,300,0.65,,1400,0.65,1500,160,1500,160,1500,160,120,900,14,14.4,3.9,2 x 850 SHP P&W PT6A-66 turboprops with 5 blade propellers.,Mid wing with canard front wing,"On wing mounted, pusher propellers",T-tail,Tricycle retractable,
P28A,,,L1P,A,L,Light,1100,65,300,80,700,80,700,80,700,,700,110,,,500,,500,80,500,80,500,60,65,300,10.7,7.2,2.25,161 Warrior 2: 1 x 160 HP Lycoming O - 320 - A2B piston engine with 2 blade propeller. 181 Archer 3: 1 x 180 HP Lycoming O - 360 - A4M piston engine with 2 blade propeller.,Low wing,Nose mounted,"Regular tail, mid set",Tricycle fixed,
P28R,,,L1P,A,L,Light,1130,70,300,100,1000,100,1000,100,1000,,1000,140,,,700,,500,100,500,100,500,65,70,300,9.1,7.4,2.4,180: 1 x 180 HP Lycoming IO-360-B1E piston engine with two blade propeller. 200: 1 x 200 HP Lycoming IO-360-C1C piston engine with three blade propeller.,Low wing,Nose mounted,"Regular tail, mid set",Tricycle retractable,
P28T,,,L1P,A,L,Light,1320,70,350,100,1100,100,1100,100,1100,,1100,160,,,700,,500,100,500,100,500,80,70,350,10.8,8.3,2.5,1 x 200 HP Continental TSIO-360 -FB turbocharged piston engine with 2 blade propeller.,Low wing,Nose mounted,T-tail,Tricycle retractable,
P3,,,L4T,C,M,Lower Medium,61235,120,1290,150,1500,150,1500,150,1500,0.68,1500,330,0.68,,3800,0.68,1500,150,1500,150,1500,170,130,1290,30.37,35.61,10.27,4 x 4.910 SHP Allison T56-A-14 turboprops with 4 blade propellers. 2000: 4 x Allison 2100 turboprops.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
P32R,,,L1P,A,L,Light,1640,75,500,105,1000,105,1000,105,1000,,1000,160,,,800,,500,105,500,105,500,90,75,500,11,8.6,2.6,1 x 300 HP Lycoming IO-540-K1G5 piston engine with 2 or 3 blade propeller.,Low wing,Nose mounted,"Regular tail, mid set",Tricycle retractable,
P46T,,,L1T,A,L,Light,2200,80,460,110,1400,110,1400,110,1400,0.41,1400,220,0.41,,1000,0.41,1500,110,1500,110,1500,,75,460,13.1,9,3.5,"1 x 1,209 SHP P&W PT6A-42A turboprop with Hartzell 3 blade constant speed propeller.",Low wing,Nose mounted,"Regular tail, mid set",Tricycle retractable,
P808,,,L2J,B,M,,8170,100,900,130,5000,130,5000,130,5000,0.65,5000,420,0.65,,1150,0.65,1200,130,1200,130,1200,110,105,900,13.2,12.8,4.8,2 x 15.24 kN Rolls Royce (Bristol Siddeley) Viper Mk525 turbojets.,Low wing with wing tip tanks,Both sides of rear fuselage,"Regular tail, high set",Tricycle retractable,
PA18,,,L1P,A,L,Light,680,45,60,75,1000,75,1000,75,1000,,1000,100,,,400,,500,75,500,75,500,60,45,60,10.7,6.8,2,1 x 90 HP Continental C90-12F or C90-8F or 1 x 150 HP Lycoming O-320 piston engine with two blade propeller.,High wing (wing struts),Nose mounted,"Regular tail, high set",Tailwheel fixed,
PA23,,,L2P,A,L,Light,2177,110,380,160,2200,160,2200,160,2200,,2200,160,,,780,,1500,160,1500,160,1500,95,85,380,11.34,9.52,3.15,"2x Lycoming IO-540-C4B5 , 250hp each with Hartzell HC-E2YK-2RB constant speed propeller.&#13;&#10;&#13;&#10;",Low wing,Over wing mounted,"Regular tail, low set",Tricycle retractable,
PA27,,,L2P,A,L,Light,2360,82,300,105,1500,105,1500,105,1500,,1500,170,,,710,,800,105,800,105,800,75,70,300,11.4,9.5,3.1,2 x 235 HP Lycoming O-540-B1A5 piston engines or  2 x 250 SHP Lycoming TIO-540-C1A turbocharged piston engines with 2 blade propeller.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
PA31,,,L2P,A,L,Light,2950,90,400,120,1200,120,1200,120,1200,,1200,210,,,890,,800,120,800,120,800,,90,400,12.4,9.9,4,PA-31: 2 x 310 HP Lycoming TIO-540-A turbocharged piston engines with 3 blade propellers. Chieftain: 2 x 350 HP Lycoming TIO-540-J2BD turbocharged piston engines with 3 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
PA32,,,L1P,A,L,Light,1640,75,500,105,1100,105,1100,105,1100,,1100,150,,,700,,800,105,800,105,800,90,80,500,10,8.4,2.9,1 X 300 HP Lycoming IO-540 piston engine with 2 blade propeller.,Low wing,Nose mounted,"Regular tail, mid set",Tricycle fixed,
PA34,,,L2P,A,L,Light,2100,80,300,110,1300,110,1300,110,1300,,1300,160,,,980,,800,110,800,110,800,90,80,300,11.9,8.7,3,2 x 200 HP Lycoming IO-360-A1A piston engines or 2 x 200 HP Continental TSIO-360-E turbocharged piston engines with 2 blade propellers. &#13;&#10;Seneca III & IV: 2 x 220 HP Continental TSIO-360-KB turbocharged piston engines with 3 blade propellers.&#13;&#10;Seneca V: 2x 220HP Continental TSIO-360-RB with 3 blade propellers,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
PA38,,,L1P,A,L,Light,760,60,250,75,600,75,600,75,600,,600,95,,,450,,500,75,500,75,500,,60,250,10.4,7,2.8,1 x 112 HP Avco Lycoming O-235-L2A or L2C piston engine with two blade propeller.,Low wing,Nose mounted,T-tail,Tricycle fixed,
PA44,,,L2P,A,L,Light,1720,75,300,110,1300,110,1300,110,1300,,1300,160,,,800,,800,110,800,110,800,,80,300,11.8,8.4,2.6,PA-44-180: 2 x 180 HP Lycoming O-360-E1AD piston engines with 2 or 3 blade propellers. PA-44-180T: 2 x 180 HP Lycoming TO-360-E1A6D turbocharged piston engines with 2 blade propellers.,Low wing,(Front) Wing leading mounted,T-tail,Tricycle retractable,
PA46,,,L1P,A,L,Light,1950,80,450,110,1600,110,1600,110,1600,0.41,1600,200,0.41,,1000,0.41,800,110,800,110,800,90,75,450,13.1,8.7,3.5,310P: 1 x 310 HP Continental TSIO-520-BE turbocharged piston engine with 2 blade propeller. 350P: 1 x 350 HP Lycoming TIO-540-AE2A turbocharged piston engine with 2 blade propeller.,Low wing,Nose mounted,"Regular tail, mid set",Tricycle retractable,
PAY2,,,L2T,B,L,Light,4080,100,650,130,2800,130,2800,130,2800,,2800,215,,,1480,,1500,130,1500,130,1500,110,100,650,13,10.5,3.9,2 x 750 SHP P&W PT6A-135 turboprops with 3 blade propellers. Cheyenne 1: 2 x 620 SHP P&W PT6A-28 turboprops with 3 blade propellers.,Low wing with wing tip tanks,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,
PAY3,,,L2T,B,L,Light,5080,105,700,135,2400,135,2400,135,2400,,2400,280,,,2270,,1500,135,1500,135,1500,120,105,700,14.5,13.2,4.5,2 x 720 SHP P&W PT6A-41 turboprops with 3 blade propellers.,Low wing with wing tip tanks,(Front) Wing leading mounted,T-tail,Tricycle retractable,
PAY4,,,L2T,B,L,Light,5470,125,700,155,3200,155,3200,155,3200,,3200,360,,,1800,,1500,155,1500,155,1500,,120,700,14.5,13.2,5.2,2 x 1.645 SHP derated to 1.000 SHP Garrett TPE331-14A/B turboprops with 4 blade propellers.,Low wing with wing tip tanks,(Front) Wing leading mounted,T-tail,Tricycle retractable,
PC12,,,L1T,A,L,Light,4500,110,600,130,1700,130,1700,130,1700,,1700,270,,,2000,,1500,130,1500,130,1500,140,85,600,16.2,14.4,4.3,1 x 1.200 SHP P&W PT6A-67B turboprop with 4 bladed Hartzell propeller.,Low wing (winglets),Nose mounted,T-tail,Tricycle retractable,
PC6T,,,L1T,A,L,Light,2770,60,100,90,1200,90,1200,90,1200,,1200,130,,,850,,700,90,700,90,700,65,60,100,15.9,10.9,3.2,1 x 550 SHP P&W PT6A-27 turboprop with 3 blade propeller.,High wing (wing struts),Nose mounted,"Regular tail, high set",Tailwheel fixed,
PC7,,,L1T,A,L,Light,2700,90,300,120,2800,120,2800,120,2800,,2800,230,,,1050,,3000,120,3000,120,3000,,90,300,10.1,10.1,3.3,1 x 700 SHP P&W PT6A-25C turboprop with 3 blade propeller.,Low wing,Nose mounted,"Regular tail, high set",Tricycle retractable,
PC9,,,L1T,A,L,Light,3200,90,250,140,4100,140,4100,140,4100,,4100,300,,,860,,3000,140,3000,140,3000,90,80,250,10.1,10.7,3.3,PC-9: 1 x 1.150 SHP P&W PT6A-62 turbo-prop with 4 blade propeller. T-6A: 1 x 1.708 SHP P&W PT6A-68 turbo-prop with 4 blade propeller.,Low wing,Nose mounted,"Regular tail, mid set",Tricycle retractable,
PRM1,,,L2J,B,L,Light,5670,120,1156,130,2000,130,2000,130,2000,0.78,2000,440,0.78,,1360,0.78,1700,130,1700,130,1700,110,95,1156,13.56,14.02,4.67,2x Williams / Rolls-Royce FJ44-2A,Low wing,Both sides of rear fuselage,T-tail,Tailwheel retractable,
PZ04,,,L1P,A,L,Light,1300,45,120,75,900,75,900,75,900,,900,80,,,275,,500,75,500,75,500,40,50,120,11.1,8.1,2.96,1 x 260 HP PZL IAI-14RA radial piston engine with 2 blade propeller.,High wing,Nose mounted,"Regular tail, high set",Tailwheel fixed,
R135,,,L4J,D,H,Lower Heavy,146000,125,2700,155,4800,155,4800,155,4800,0.76,4800,480,0.76,,3000,0.76,800,155,800,155,800,,150,2700,39.9,41.5,12.7,4 x 80.1 kN P&W TF33-P9 or 4 x 106.8 kN CFM 56-2A2/3 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,
R44,,,H1P,A,L,Light,1134,,,60,1000,60,1000,60,1000,,1000,110,,,300,,1000,60,1000,60,1000,,15,,10.1,9,3.3,"RAVEN II :1 × Lycoming IO-540-AE1A5 6 cylinder, flat engine with fuel injection, 245 bhp (183 kW) &#13;&#10;Raven I + Astro : 1x Lycoming O-540 Carbureted 6 cylinders",Two-blade main rotor,Above cabin,Two-blade tail rotor,Skids,
RALL,,,L1P,A,L,Light,1050,65,300,95,800,95,800,95,800,,800,120,,,700,,500,95,500,95,500,75,60,300,9.7,7.2,2.8,880B: 1 x 100 HP Continental O-220-A piston engine with 2 blade propeller. 890: 1 x 150 HP Lycoming O-320 piston engine with 2 blade propeller. 894: 1 x 235 HP Lycoming O-540-B4BT piston engine with 3 blade propeller.,Low wing,Nose mounted,"Regular tail, high set",Tricycle fixed,
RJ1H,,,L4J,C,M,Lower Medium,46020,125,1600,155,1500,155,1500,155,1500,0.65,1500,420,0.65,,1100,0.65,800,155,800,155,800,200,125,1600,26.34,31,8.61,4 x 31.15kN Textron Lycoming LF 507 turbofans.,High wing,Underwing mounted,T-tail,Tricycle retractable,ARJ / ARX / AX
RJ70,,,L4J,C,M,Lower Medium,23290,125,1600,155,2000,155,2000,155,2000,0.60,2000,400,0.60,,1120,0.60,800,155,800,155,800,200,125,1600,26.21,26.16,8.59,4 x 31.15 kN Textron Lycoming LF 507 turbofans.,High wing,Underwing mounted,T-tail,Tricycle retractable,AR7 / ARJ
RJ85,,,L4J,C,M,Lower Medium,42190,125,1030,155,2200,155,2200,155,2200,0.65,2200,420,0.65,,1100,0.65,800,155,800,155,800,200,125,1030,26.34,28.55,8.61,4 x 31.15 kN Textron Lycoming LF 507 turbofans.,High wing,Underwing mounted,T-tail,Tricycle retractable,AR8 / ARJ
S601,,,L2J,B,L,Light,6600,125,1400,155,2700,155,2700,155,2700,0.68,2700,310,0.68,,1400,0.68,1000,155,1000,155,1000,210,120,1400,12.9,13.8,4.2,2 x 10.5 KN P&W JT15-D4 turbofans.,Low wing with wing tip tanks,Both sides of rear fuselage,Cruciform tail,Tricycle retractable,NDC
S61,,,H2T,A,M,Light,8620,,,100,1500,100,1500,100,1500,,1500,120,,,450,,1000,100,1000,100,1000,,15,,17.96,18.9,5.32,"2 × General Electric CT58-140 turboshafts, 1,500 shp (1,120 kW) each",Five-blade main rotor,In fuselage,Five-blade tail rotor,Main gear retractable - tailwheel fixed,
S76,,,H2T,A,L,Light,5307,,,70,1800,70,1800,70,1800,,1800,150,,,410,,1500,70,1500,70,1500,,15,,13.41,16,4.42,"2 × Turbomeca Arriel 2S2 turboshaft, 922 shp (688 kW) each&#13;&#10;S76D : 2x Pratt & Whitney Canada PW210S 1050 hp (783 kW) engines&#13;&#10;earlier models were powered by the Allison 250-C30s engines.",Four-blade main rotor,In fuselage,Four-blade tail rotor,Tricycle retractable,
SB05,,,L2J,B,L,Light,4635,90,500,120,13000,120,13000,120,13000,0.60,13000,450,0.60,,1200,0.60,5000,120,5000,120,5000,,115,500,9.5,10.8,2.7,SK60:2 x 12.93 KN GE J 85-GE-17B or 2 x 7.43 KN Turbemeca Ansisque turbofans. SK60W: 2 x 8.45 KN Williams R-R FJ44-16 turbofans.,High wing,Both sides of fuselage,T-tail,Tricycle retractable,
SB20,,,L2T,B,M,Lower Medium,21000,110,1300,140,2300,140,2300,140,2300,0.60,2300,360,0.60,,1200,0.60,1500,140,1500,140,1500,160,110,1300,24.8,27.3,7.7,2 x 4.125 SHP Allison AE-2100A turboprops with 6 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,S20
SB32,,,L1J,C,M,Light,13500,,,220,49000,220,49000,220,49000,0.75,49000,260,0.75,,1078,0.75,10000,220,10000,220,10000,170,125,,13,14.94,4.65,"1x Svenska Flygmotor RM6A turbojet with afterburner, delivering 65.3kN with afterburner",Low wing,In rear fuselage,"Regular tail, low set",Tricycle retractable,
SB37,,,L1J,B,M,Lower Medium,20000,145,400,300,40000,300,40000,300,40000,0.80,40000,480,0.80,,1000,0.80,10000,300,10000,300,10000,,120,400,10.6,16.4,5.9,1 x 78.1 kN Volvo RM8B afterburning turbofan with thrust-reversers.,Delta wing (canard front wing),In fuselage,No tail plane,Tricycle retractable,
SB39,,,L1J,B,M,Light,14000,145,800,300,50000,300,50000,300,50000,0.80,50000,480,0.80,,860,0.80,10000,300,10000,300,10000,,120,800,8.4,14.1,4.5,"1 x 80,5 kN Volvo Flygmotor RM 12  (F404-GE-400) afterburning turbofan.",Delta wing (canard front wing),In fuselage,Canard front wings,Tricycle retractable,
SBR2,,,L2J,C,M,Light,10430,145,1300,175,4700,175,4700,175,4700,0.72,4700,450,0.72,,2400,0.72,1000,175,1000,175,1000,180,140,1300,13.6,14.3,4.9,2 x 20.2 kN GE CF700-2D-2 turbofans.,Low wing,Both sides of rear fuselage,"Regular tail, mid set",Tricycle retractable,
SC7,,,L2T,A,L,Light,5670,90,600,120,1200,120,1200,120,1200,,1200,170,,,600,,800,120,800,120,800,90,90,600,19.8,12.2,4.6,2 x 715 SHP Garrett TFE331-2-201A turboprops with 3 blade propellers.,High wing (wing struts),(Front) Wing leading mounted,"Double fin, low set",Tricycle fixed,SHS
SF34,,,L2T,B,M,Light,12900,110,1300,140,1800,140,1800,140,1800,0.45,1800,250,0.45,,930,0.45,1500,140,1500,140,1500,150,115,1300,21.4,19.7,7,2 x 1.735 SHP GE CT75A2 turboprops with 4 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,SF3
SH33,,,L2T,B,M,Light,10250,100,1100,110,1000,110,1000,110,1000,,1000,180,,,1000,,800,110,800,110,800,,100,1100,22.8,17.7,5,100: 2 x 1.156 SHP P&W PT6A-45B Turboprops with 5 blade propellers. 200: 2 x 1.198 SHP P&W PT6A-45R Turboprops with 5 blade propellers. C-23: 2 x 1.120 SHP P&W T101-CP-100 Turboprops with 5 blade propellers.,High wing (wing struts),(Front) Wing leading mounted,"Double fin, low set",Tricycle retractable,SH3
SH36,,,L2T,B,M,Light,12300,110,1300,140,1000,140,1000,140,1000,,1000,210,,,1000,,800,140,800,140,800,,100,1300,22.8,21.6,7.3,2 x 1.294 SHP P&W PT6A-65R turboprops with 5 blade propellers. 300: 2 x 1.424 SHP P&W PT6A-67R turboprops with 6 blade propellers.,High wing (wing struts),(Front) Wing leading mounted,"Regular tail, mid set",Tricycle retractable,SH6
SR20,,,L1P,A,L,Light,1361,,451,85,830,85,830,85,830,,830,155,,,785,,1000,85,1000,85,1000,75,65,451,11.68,7.92,2.7,"1 × Continental IO-360-ES, 200 hp (149 kW)",Low wing,Nose mounted,"Regular tail, low set",Tricycle fixed,
SR22,,,L1P,A,L,Light,1633,,462,75,1260,75,1260,75,1260,,1260,180,,,1049,,1000,75,1000,75,1000,65,70,462,11.68,7.92,2.72,"1 × Continental IO-550-N Six cylinder horizontally opposed aircraft engine, 310 hp (230 kW)",Low wing (straight),Nose mounted,"Regular tail, low set",Tricycle fixed,
SU17,,,L1J,C,M,Lower Medium,19500,150,900,180,45000,180,45000,180,45000,0.80,45000,550,0.80,,1300,0.80,10000,180,10000,180,10000,170,140,900,13.7,19,5.1,"1 x 110,3 kN Lyulka AL-21F-3 afterburning turbojet.",Low swing wing,In fuselage,"Regular tail, mid set",Tricycle retractable,
SU24,,,L2J,D,M,Lower Medium,43755,180,1550,300,30000,300,30000,300,30000,0.80,30000,500,0.80,,1200,0.80,10000,300,10000,300,10000,210,160,1550,17.6,22.5,6.2,2 x 75.0 kN Saturn/Lyulka AL-21F-3A turbojets.,High swing wing,In fuselage,"Regular tail, high set",Tricycle retractable,
SU25,,,L2J,E,M,Lower Medium,20500,130,650,160,1200,160,1200,160,1200,0.64,1200,350,0.64,,800,0.64,7000,160,7000,160,7000,,170,650,14.5,15.4,5.2,"2 x 44,2 kN Soyuz Fumansky R-195 turbojets.",High wing,Both sides of fuselage,"Regular tail, mid set",Tricycle retractable,
SU27,,,L2J,C,M,Lower Medium,33500,130,600,280,64000,280,64000,280,64000,0.80,64000,500,0.80,,1800,0.80,20000,280,20000,280,20000,150,140,600,14.7,22,5.9,2 x 79.4 kN Saturn AL-31F afterburning turbofans. Su-35: 2 x 125.5 kN Saturn AL-35F afterburning turbofans. Su-35: 2 x 142.2 kN Saturn AL-37F afterburning and thrust vectoring turbofans.,Delta wing,In fuselage,"Double fin, low set",Tricycle retractable,
SU95,,,L2J,C,M,Lower Medium,45880,160,1731,200,2500,200,2500,200,2500,0.76,2500,450,0.76,,3048,0.76,1500,200,1500,200,1500,190,130,1731,27.8,29.94,10.28,2x (78kN) PowerJet SaM 146,Low wing,Underwing mounted,"Regular tail, low set",Tricycle retractable,
SW2,,,L2T,B,L,Light,4445,95,620,140,2400,140,2400,140,2400,0.70,2400,210,0.70,,1500,0.70,2000,140,2000,140,2000,100,115,620,13.98,12.22,4.37,2x Garrett TPE331-1-151G 665shp (496kW) turboprop engines.,Low wing,In wing mounted,"Regular tail, low set",Tricycle retractable,
SW3,,,L2T,B,L,Light,5700,115,1300,145,2000,145,2000,145,2000,0.46,2000,260,0.46,,2200,0.46,1500,145,1500,145,1500,160,120,1300,14.1,12.9,5.1,2 x 840 SHP Garrett TPE331-10U-503G turboprops with 4 blade propellers.,Low wing,(Front) Wing leading mounted,"Regular tail, high set",Tricycle retractable,
SW4,,,L2P,B,M,Light,7257,,,140,1500,140,1500,140,1500,,1500,270,,,575,,1000,140,1000,140,1000,120,115,,17.37,18.09,5.08,2x Garrett TPE331-12 Turboprop,Low wing,(Front) Wing leading mounted,"Regular tail, low set",Tricycle retractable,
